center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,f65f2c47-dfd7-4fea-98fb-d7c5d97d46b6,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-06T18:47:58.959Z,2024-01-06T18:51:06.972Z,2024-01-06T10:47:58.959Z,2024-01-06T10:51:06.972Z,45,ascending,left,38536,225.51838061135902,111.9483372210931,33.318375,51.966622,34.386608,49.999822
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,d682be15-2a64-4249-b04e-33db47238036,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-06T19:02:22.478Z,2024-01-06T19:05:37.769Z,2024-01-06T11:02:22.478Z,2024-01-06T11:05:37.769Z,45,ascending,left,39403,228.17523701293422,110.83586483436125,33.218063,53.41508,33.072314,49.998914
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,516bd5c2-bfbf-469d-873f-4293c944d6e9,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-07T18:49:45.465Z,2024-01-07T18:53:01.918Z,2024-01-07T10:49:45.465Z,2024-01-07T10:53:01.918Z,45,ascending,left,38646,237.11942055856977,111.23686171533794,33.319388,57.746829,29.285677,49.999292
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,c8b6b31a-d707-4d87-a5cc-6454bd9a7c4b,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-07T19:06:38.983Z,2024-01-07T19:09:40.120Z,2024-01-07T11:06:38.983Z,2024-01-07T11:09:40.120Z,45,ascending,left,39652,239.80852938781348,116.76030858046202,33.219003,58.173045,28.86957,49.99879
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,bbb58bfa-0a09-4636-a258-6169dc898cf6,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-08T17:11:44.992Z,2024-01-08T17:13:39.708Z,2024-01-08T09:11:44.992Z,2024-01-08T09:13:39.708Z,45,ascending,left,32725,190.8372216543286,129.61256816615963,33.291973,37.98334,46.249508,49.999987
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,5d45dee0-4a2d-49d4-8f76-2588b3df55b2,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-08T17:30:44.313Z,2024-01-08T17:33:08.463Z,2024-01-08T09:30:44.313Z,2024-01-08T09:33:08.463Z,45,ascending,left,33879,200.77291102508605,122.80317005898111,33.193955,41.09884,43.617156,49.999282
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,857383fc-f236-443b-8de4-25c3a9dd1dc0,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-08T18:51:36.895Z,2024-01-08T18:53:41.691Z,2024-01-08T10:51:36.895Z,2024-01-08T10:53:41.691Z,45,ascending,left,38722,244.92555182876637,152.76574686229532,33.319705,52.356184,34.045817,49.998539
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,f2a8468e-3198-4d90-ad97-7780b26ee207,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-08T19:11:00.580Z,2024-01-08T19:12:42.277Z,2024-01-08T11:11:00.580Z,2024-01-08T11:12:42.277Z,45,ascending,left,39874,247.12744838430575,184.96091315203367,33.218156,48.298937,37.526057,49.999312
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,8e021957-06b6-493d-8f3c-cce51793f8ac,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-09T17:13:08.490Z,2024-01-09T17:15:57.332Z,2024-01-09T09:13:08.490Z,2024-01-09T09:15:57.332Z,45,ascending,left,32836,213.41919530282235,116.48845641632047,33.294862,46.160238,39.40191,49.999414
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,abdc9130-2580-4f21-bb48-e24bf7b973c8,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-09T17:34:43.718Z,2024-01-09T17:37:49.478Z,2024-01-09T09:34:43.718Z,2024-01-09T09:37:49.478Z,45,ascending,left,34139,221.0666739002318,112.91195125691834,33.197459,49.824336,36.195028,49.999653
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,629b0c3f-7318-4a3e-ab69-258c44615d09,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-10T17:14:48.596Z,2024-01-10T17:18:01.580Z,2024-01-10T09:14:48.596Z,2024-01-10T09:18:01.580Z,45,ascending,left,32948,228.52175461832888,111.04255429039485,33.295689,53.529613,33.004477,49.999509
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,5298c3be-f70c-4712-9c0b-c6f58beda4a8,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-10T17:38:56.561Z,2024-01-10T17:42:20.449Z,2024-01-10T09:38:56.561Z,2024-01-10T09:42:20.449Z,45,ascending,left,34401,234.94067165659794,109.6470022735734,33.198688,56.895741,29.994959,49.999737
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,c8ca8e2d-3eb2-4756-9a84-e4e5672a6e6e,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-11T16:03:21.227Z,2024-01-11T16:05:07.053Z,2024-01-11T08:03:21.227Z,2024-01-11T08:05:07.053Z,45,ascending,left,28617,186.79721858023458,131.88593515941375,33.180114,36.91402,47.038566,49.999958
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,bee3ab46-5251-4a11-86ae-c8fee26ed790,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-11T17:16:36.437Z,2024-01-11T17:19:38.316Z,2024-01-11T09:16:36.437Z,2024-01-11T09:19:38.316Z,45,ascending,left,33050,239.2222256498201,115.8999437033747,33.297118,58.078355,28.981526,49.998991
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,550c8204-4af6-4590-9054-51889aa015bf,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-11T17:43:16.096Z,2024-01-11T17:45:36.566Z,2024-01-11T09:43:16.096Z,2024-01-11T09:45:36.566Z,45,ascending,left,34629,244.24273618007345,139.9407429125862,33.199239,54.401872,32.197554,49.999763
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,403d8c5a-dcd7-49d4-97f1-6b811a793047,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-12T15:38:27.588Z,2024-01-12T15:40:39.808Z,2024-01-12T07:38:27.588Z,2024-01-12T07:40:39.808Z,45,ascending,left,27137,197.02616966055137,125.41778829561832,33.277969,39.836759,44.715709,49.999549
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,bcd9a85e-bf5a-4e29-be6b-ddd008de3dd6,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-12T16:07:07.831Z,2024-01-12T16:09:58.842Z,2024-01-12T08:07:07.831Z,2024-01-12T08:09:58.842Z,45,ascending,left,28876,212.5758419912714,116.40256927145988,33.185194,45.835884,39.61817,49.998948
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,8fa9ff33-43a8-4697-b882-ff58f5b130c7,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-12T17:18:28.657Z,2024-01-12T17:20:18.063Z,2024-01-12T09:18:28.657Z,2024-01-12T09:20:18.063Z,45,ascending,left,33126,246.23310146715755,172.43130794070316,33.297731,49.806463,36.259437,49.998331
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,a7bab910-595d-44aa-be1d-c58a9dc2f1ea,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-13T15:39:56.378Z,2024-01-13T15:42:52.901Z,2024-01-13T07:39:56.378Z,2024-01-13T07:42:52.901Z,45,ascending,left,27247,217.261721779166,114.70038105873351,33.281755,47.943712,37.861421,49.998772
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,cb4c1253-87ff-46a1-8533-fbd3225a4627,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-13T16:11:15.648Z,2024-01-13T16:14:33.374Z,2024-01-13T08:11:15.648Z,2024-01-13T08:14:33.374Z,45,ascending,left,29137,229.0363124336539,110.47163026382745,33.188313,53.904013,32.628409,49.999329
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,de6db737-9b64-41d5-961e-84d6d1ae9275,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-14T15:41:38.655Z,2024-01-14T15:44:55.557Z,2024-01-14T07:41:38.655Z,2024-01-14T07:44:55.557Z,45,ascending,left,27360,231.25100120586447,110.40857100025619,33.284303,54.951413,31.745813,49.998752
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,45c0fc7f-5415-4c4a-8ff1-c43a70b7c987,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-14T16:15:32.530Z,2024-01-14T16:18:30.802Z,2024-01-14T08:15:32.530Z,2024-01-14T08:18:30.802Z,45,ascending,left,29384,240.3968591879468,118.103413435329,33.190265,58.133879,28.892425,49.999173
