center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,494089c0-a45a-494c-84fe-9d787c9d6230,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-05T09:26:22.120Z,2023-12-05T09:28:24.801Z,2023-12-05T01:26:22.120Z,2023-12-05T01:28:24.801Z,45,ascending,left,4806,245.2706811080193,155.40731091866132,33.31191,52.055049,34.301518,49.998472
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,4c194d12-4805-44e0-9eb2-05149dd66f0e,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-06T07:13:37.256Z,2023-12-06T07:15:26.973Z,2023-12-05T23:13:37.256Z,2023-12-05T23:15:26.973Z,45,ascending,left,83235,190.0281481747956,130.4801294350834,33.41081,37.820792,46.459207,49.999848
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,866ffd39-0da5-4981-8158-31cc68f8856a,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-06T07:50:11.557Z,2023-12-06T07:53:03.850Z,2023-12-05T23:50:11.557Z,2023-12-05T23:53:03.850Z,45,ascending,left,85461,215.59937909848333,115.45971932460853,33.318605,47.178518,38.539295,49.999513
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,d8355dcb-ee07-4798-9354-23929afec7bf,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-06T08:53:27.669Z,2023-12-06T08:55:30.111Z,2023-12-06T00:53:27.669Z,2023-12-06T00:55:30.111Z,45,ascending,left,2832,244.79578792166097,153.51026671679892,33.403714,52.261177,34.162597,49.999658
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,3e21213b-829b-4244-8445-200bf09e5bf4,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-07T07:15:00.626Z,2023-12-07T07:17:44.963Z,2023-12-06T23:15:00.626Z,2023-12-06T23:17:44.963Z,45,ascending,left,83346,213.02660143277845,117.00771955409846,33.413812,45.978601,39.619788,49.999698
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,a8e6bd5e-e135-4b5a-ba29-04e27c72b1e5,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-07T07:54:21.626Z,2023-12-07T07:57:36.908Z,2023-12-06T23:54:21.626Z,2023-12-06T23:57:36.908Z,45,ascending,left,85722,231.1405316044512,110.51945922859822,33.319771,54.878795,31.825699,49.999054
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,2a9540a8-e733-429a-901f-fe497404948a,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-08T06:19:12.971Z,2023-12-08T06:20:00.935Z,2023-12-07T22:19:12.971Z,2023-12-07T22:20:00.935Z,45,ascending,left,79940,170.32846895335175,145.5426984441858,33.335545,34.066043,49.425193,49.999755
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,c7e65a8a-b804-43cc-9e16-852c6aad0041,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-08T07:16:40.907Z,2023-12-08T07:19:49.259Z,2023-12-07T23:16:40.907Z,2023-12-07T23:19:49.259Z,45,ascending,left,83458,228.2461339786242,111.4868776725337,33.414628,53.315497,33.243421,49.999192
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,ea7551c9-0d0d-484c-98c8-e42d573dac0a,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-08T07:58:39.752Z,2023-12-08T08:01:19.392Z,2023-12-07T23:58:39.752Z,2023-12-08T00:01:19.392Z,45,ascending,left,85962,241.69942583544233,125.10610093101192,33.335052,56.950225,29.994594,49.999244
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,66ac735b-613d-4db8-9482-f7deb7217884,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-09T06:22:39.873Z,2023-12-09T06:25:11.347Z,2023-12-08T22:22:39.873Z,2023-12-08T22:25:11.347Z,45,ascending,left,80198,205.67377540300535,120.46311449791538,33.34128,42.937412,42.162883,49.999555
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,b083bfab-b8a2-42fc-ad52-92c844af3a54,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-09T07:18:28.923Z,2023-12-09T07:21:27.011Z,2023-12-08T23:18:28.923Z,2023-12-08T23:21:27.011Z,45,ascending,left,83561,238.96058411458014,116.22260907557617,33.429339,57.877176,29.205268,49.999854
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,0c4f87a4-1441-4a8b-830d-efd50e4e898d,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-10T05:40:21.994Z,2023-12-10T05:42:27.028Z,2023-12-09T21:40:21.994Z,2023-12-09T21:42:27.028Z,45,ascending,left,77647,195.93021010751306,126.68028537491146,33.436653,39.519996,45.078362,49.999824
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,54552024-f6c2-4c39-bc9a-15105c50b224,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-10T06:26:43.489Z,2023-12-10T06:29:49.259Z,2023-12-09T22:26:43.489Z,2023-12-09T22:29:49.259Z,45,ascending,left,80459,224.38071317068238,112.26306519203648,33.343139,51.413788,34.877901,49.998691
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,81afad1e-1a7d-45ee-bdc0-6409244d7fe1,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-10T07:20:21.324Z,2023-12-10T07:22:06.884Z,2023-12-09T23:20:21.324Z,2023-12-09T23:22:06.884Z,45,ascending,left,83637,245.8989105445304,173.9047225980336,33.431487,49.575453,36.52296,49.999969
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,d8e27dd9-a0b6-44d6-aefa-32312d9a036d,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-11T05:41:50.511Z,2023-12-11T05:44:40.662Z,2023-12-10T21:41:50.511Z,2023-12-10T21:44:40.662Z,45,ascending,left,77758,216.67825146966462,115.4959962688678,33.439117,47.612624,38.22714,49.999765
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,268ecb63-758d-49e5-a504-015a7dc2bcea,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-11T06:30:58.410Z,2023-12-11T06:34:14.058Z,2023-12-10T22:30:58.410Z,2023-12-10T22:34:14.058Z,45,ascending,left,80719,237.18074198987279,111.27566487585891,33.351817,57.778021,29.265364,49.999504
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,663d63cc-a868-430e-b0c2-32d6971436fc,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-12T04:55:14.260Z,2023-12-12T04:57:13.947Z,2023-12-11T20:55:14.260Z,2023-12-11T20:57:13.947Z,45,ascending,left,74937,193.08476994213208,128.20704576730873,33.349996,38.646776,45.742354,49.999691
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,35fae641-e877-4f8e-a84a-d93707336e60,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-12T05:43:32.887Z,2023-12-12T05:46:43.463Z,2023-12-11T21:43:32.887Z,2023-12-11T21:46:43.463Z,45,ascending,left,77871,230.83491109242036,111.06359841157462,33.439596,54.595504,32.124593,49.999645
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,10d126c2-cba0-4c03-b883-a6fe8d7c43cf,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-12T06:35:19.172Z,2023-12-12T06:37:16.342Z,2023-12-11T22:35:19.172Z,2023-12-11T22:37:16.342Z,45,ascending,left,80941,245.44422257264569,160.85962968221745,33.353521,51.277859,35.001984,49.999533
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,2d121508-d44c-422c-8031-9a90fdd8625b,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-13T04:59:07.730Z,2023-12-13T05:02:00.151Z,2023-12-12T20:59:07.730Z,2023-12-12T21:02:00.151Z,45,ascending,left,75197,216.36890947056506,115.31038001885182,33.356796,47.503463,38.277513,49.99917
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,fe6790e9-2514-440f-837f-f7906708eada,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-13T05:45:22.047Z,2023-12-13T05:48:03.876Z,2023-12-12T21:45:22.047Z,2023-12-12T21:48:03.876Z,45,ascending,left,77966,240.7127844146022,122.73893060882043,33.450086,57.151845,29.859836,49.999418
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,ebb1fc19-1d8e-4ac6-b8e1-8cdd80168adc,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-14T04:07:08.272Z,2023-12-14T04:09:26.013Z,2023-12-13T20:07:08.272Z,2023-12-13T20:09:26.013Z,45,ascending,left,72060,201.22431739338833,123.51454604954692,33.44905,41.26585,43.634454,49.999351
