center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,7682030b-f7be-4ea4-84e1-dc2f2d0486c2,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-05T11:45:10.151Z,2024-01-05T11:46:06.941Z,2024-01-05T03:45:10.151Z,2024-01-05T03:46:06.941Z,53,ascending,left,13101,170.34594499373497,115.62698791373828,46.218241,49.796914,36.846582,39.998672
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,7ddcb9ef-bf51-4443-a509-2d51617f29be,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-07T12:28:53.078Z,2024-01-07T12:29:26.742Z,2024-01-07T04:28:53.078Z,2024-01-07T04:29:26.742Z,53,ascending,right,15713,324.38614311456035,355.8786600477113,46.203622,47.353843,38.992474,39.999691
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,fe5e4081-b9de-42b0-99e5-d0c9496d9594,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-08T12:01:22.170Z,2024-01-08T12:02:20.315Z,2024-01-08T04:01:22.170Z,2024-01-08T04:02:20.315Z,53,ascending,right,14074,311.12497194349623,7.051480530675587,46.204157,49.901595,36.744219,39.999689
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,cc9e11a7-c5a2-4792-a544-690212449dd8,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-09T11:33:55.502Z,2024-01-09T11:35:09.843Z,2024-01-09T03:33:55.502Z,2024-01-09T03:35:09.843Z,53,ascending,right,12435,301.19066799401594,14.894028443303428,46.20669,52.75762,34.202245,39.999525
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,78cefff6-0100-4767-a060-7b3e093cb029,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-10T11:06:30.803Z,2024-01-10T11:07:57.632Z,2024-01-10T03:06:30.803Z,2024-01-10T03:07:57.632Z,53,ascending,right,10797,292.514914557034,21.495559246810192,46.208701,55.95579,31.332489,39.999347
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,561d7933-ee97-49d8-9194-3b12f512b1c4,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-11T10:39:07.430Z,2024-01-11T10:40:44.320Z,2024-01-11T02:39:07.430Z,2024-01-11T02:40:44.320Z,53,ascending,right,9159,284.4957753234744,27.449905742143187,46.21154,59.529797,28.101072,39.999178
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,8b500f1e-88fb-428c-87dc-4d4a6d206388,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-22T05:38:53.516Z,2024-01-22T05:40:31.349Z,2024-01-21T21:38:53.516Z,2024-01-21T21:40:31.349Z,53,ascending,left,77545,197.70998718277585,92.3315452721417,46.238463,60.404301,27.319231,39.997765
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,3c2d8bdc-5327-4eff-b2ea-467ebaeebe91,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-23T05:11:44.177Z,2024-01-23T05:13:07.133Z,2024-01-22T21:11:44.177Z,2024-01-22T21:13:07.133Z,53,ascending,left,75908,186.51541161688027,101.62181690685846,46.236297,55.164095,32.062941,39.999673
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,37211840-a298-45d3-9b71-09e422d03a8f,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-24T04:44:39.061Z,2024-01-24T04:45:38.992Z,2024-01-23T20:44:39.061Z,2024-01-23T20:45:38.992Z,53,ascending,left,74272,172.32660615610024,113.91344194891599,46.237888,50.329955,36.389173,39.999381
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,88d2553f-2f99-436c-9cca-c42119598cb0,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-26T05:28:27.994Z,2024-01-26T05:28:53.263Z,2024-01-25T21:28:27.994Z,2024-01-25T21:28:53.263Z,53,ascending,right,76883,328.4778788779131,352.12222340603563,46.222557,46.868815,39.434763,39.999787
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,8a53718e-15a9-49b2-b795-fe2dd909f714,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-27T05:00:55.109Z,2024-01-27T05:01:48.859Z,2024-01-26T21:00:55.109Z,2024-01-26T21:01:48.859Z,53,ascending,right,75245,313.3950585249859,5.100978177830762,46.224547,49.370385,37.230495,39.999851
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,02d13ae6-dae2-4b0e-92b0-1aed3ea5df24,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-28T04:33:27.947Z,2024-01-28T04:34:38.955Z,2024-01-27T20:33:27.947Z,2024-01-27T20:34:38.955Z,53,ascending,right,73606,303.0060074853763,13.403997666176801,46.226716,52.177456,34.735299,39.998815
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,ad0ca886-6fe5-48ab-a43f-64a8914d7b77,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-29T04:06:02.991Z,2024-01-29T04:07:27.064Z,2024-01-28T20:06:02.991Z,2024-01-28T20:07:27.064Z,53,ascending,right,71968,294.0976539168822,20.235088939848186,46.228697,55.324293,31.914723,39.999184
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,3558a4e1-b4cb-4e74-94eb-0041220824e7,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-30T03:38:39.453Z,2024-01-30T03:40:13.981Z,2024-01-29T19:38:39.453Z,2024-01-29T19:40:13.981Z,53,ascending,right,70330,285.9337101217408,26.33045634676035,46.23173,58.845404,28.734073,39.998806
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,e3641062-2939-46a5-9624-8f6163de3d53,6e3b5eec-9240-4523-a05b-58b671504c76,1ba0d564-5186-4542-86c8-854206ff3f80,2024-01-31T03:11:17.006Z,2024-01-31T03:13:00.031Z,2024-01-30T19:11:17.006Z,2024-01-30T19:13:00.031Z,53,ascending,right,68691,278.19139928732756,32.00972880329356,46.236396,62.772541,25.161401,39.998894
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,e14005ed-a164-4d9a-bf9a-85da4b06a759,6e3b5eec-9240-4523-a05b-58b671504c76,e3caa8fe-05c7-46d2-a3b4-860130d03221,2024-01-05T16:40:16.649Z,2024-01-05T16:41:49.301Z,2024-01-05T08:40:16.649Z,2024-01-05T08:41:49.301Z,53,descending,right,30826,335.2453355966595,71.84369800760615,46.204049,57.820258,29.646134,39.999096
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,e494208b-be47-4d28-b408-63ea7b84ae9a,6e3b5eec-9240-4523-a05b-58b671504c76,e3caa8fe-05c7-46d2-a3b4-860130d03221,2024-01-06T16:13:03.806Z,2024-01-06T16:14:25.325Z,2024-01-06T08:13:03.806Z,2024-01-06T08:14:25.325Z,53,descending,right,29187,341.4545611001731,63.566743404411646,46.203217,54.425517,32.704978,39.99867
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,ad06bdbd-108f-490d-9dd4-d2db2fc08ba3,6e3b5eec-9240-4523-a05b-58b671504c76,e3caa8fe-05c7-46d2-a3b4-860130d03221,2024-01-07T15:45:52.289Z,2024-01-07T15:46:59.809Z,2024-01-07T07:45:52.289Z,2024-01-07T07:46:59.809Z,53,descending,right,27549,348.52400863961384,54.423587927567674,46.201771,51.389695,35.419173,39.999479
