center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,eddecdf8-8ddd-49e7-bff5-0e83f8dda622,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-11T13:14:34.713Z,2023-11-11T13:15:47.818Z,2023-11-11T05:14:34.713Z,2023-11-11T05:15:47.818Z,53,descending,right,18474,345.38300271509024,58.71709275780163,46.247575,52.725877,34.259856,39.999527
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,c4b45b73-dac2-477a-a80b-3ca969e77ef7,b2b485db-b51b-469a-b091-8f5a4e7b1994,f3959dbc-cf7e-4631-aca7-e500f074fe12,2023-11-12T09:30:16.139Z,2023-11-12T09:30:58.775Z,2023-11-12T01:30:16.139Z,2023-11-12T01:30:58.775Z,53,ascending,right,5000,319.29649291047264,359.9973651564151,46.243551,48.174043,38.302421,39.998892
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,32ce652d-d9ca-459c-9936-16b5783b96f0,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-12T12:47:24.487Z,2023-11-12T12:48:21.122Z,2023-11-12T04:47:24.487Z,2023-11-12T04:48:21.122Z,53,descending,right,16836,353.4555561963717,48.561634173148434,46.247253,49.830512,36.840097,39.999266
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,f653e8f7-0d54-46d7-aaf7-dd5bb6862d92,b2b485db-b51b-469a-b091-8f5a4e7b1994,f3959dbc-cf7e-4631-aca7-e500f074fe12,2023-11-13T09:02:47.163Z,2023-11-13T09:03:50.673Z,2023-11-13T01:02:47.163Z,2023-11-13T01:03:50.673Z,53,ascending,right,3362,307.41072977608746,9.79675323316549,46.242481,50.870495,35.911825,39.999337
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,b0036770-65c0-4357-9a88-f759dda8f2ba,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-13T12:20:18.675Z,2023-11-13T12:20:49.794Z,2023-11-13T04:20:18.675Z,2023-11-13T04:20:49.794Z,53,descending,right,15197,5.236756370446843,34.68038392648078,46.246292,47.250104,39.11991,39.999755
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,5441aea6-2ee3-461d-ae97-b5e10a506bad,b2b485db-b51b-469a-b091-8f5a4e7b1994,f3959dbc-cf7e-4631-aca7-e500f074fe12,2023-11-14T08:35:21.310Z,2023-11-14T08:36:39.643Z,2023-11-14T00:35:21.310Z,2023-11-14T00:36:39.643Z,53,ascending,right,1723,297.869662923038,17.254234435504802,46.24298,53.893289,33.209354,39.999637
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,08d35142-549e-4d9d-bcda-573c9b13f4e2,b2b485db-b51b-469a-b091-8f5a4e7b1994,f3959dbc-cf7e-4631-aca7-e500f074fe12,2023-11-15T08:07:57.160Z,2023-11-15T08:09:27.129Z,2023-11-15T00:07:57.160Z,2023-11-15T00:09:27.129Z,53,ascending,right,85,289.3585942786387,23.69834252425092,46.24277,57.27663,30.160617,39.999904
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,4335b0f9-9e00-4d94-9130-cb5106985fee,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-15T13:03:39.822Z,2023-11-15T13:04:30.698Z,2023-11-15T05:03:39.822Z,2023-11-15T05:04:30.698Z,53,descending,left,17808,241.7137925563947,192.43559667356897,46.258372,49.144094,37.457832,39.999368
"[-121.74447555476563, 46.79643719172761, 1589]","[-2301984.2440745146, -3720766.785284324, 4627460.167660917]",6,7b5401d6-484f-492d-9b12-cf05ef78619d,b2b485db-b51b-469a-b091-8f5a4e7b1994,f3959dbc-cf7e-4631-aca7-e500f074fe12,2023-11-16T07:40:34.236Z,2023-11-16T07:42:13.616Z,2023-11-15T23:40:34.236Z,2023-11-15T23:42:13.616Z,53,ascending,right,84847,281.4140020936179,29.59085287552403,46.242509,61.053135,26.732805,39.999716
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,c3ed9869-3a84-4125-84d7-6b56f7a83416,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-16T12:36:09.976Z,2023-11-16T12:37:27.439Z,2023-11-16T04:36:09.976Z,2023-11-16T04:37:27.439Z,53,descending,left,16171,255.5217828213144,176.74613440711593,46.259813,53.879852,33.232478,39.998645
"[-121.74465241003678, 46.79643716990961, 1589]","[-2301995.729910036, -3720759.6812200774, 4627460.166000066]",6,d2505f6b-583f-4d47-b408-173f60dce21d,b2b485db-b51b-469a-b091-8f5a4e7b1994,b62a0f08-7b35-4fee-a0b4-5b18f2a794f7,2023-11-17T12:08:45.094Z,2023-11-17T12:10:18.944Z,2023-11-17T04:08:45.094Z,2023-11-17T04:10:18.944Z,53,descending,left,14535,265.4048554170904,164.96075037515257,46.259261,59.031862,28.579508,39.998624
